0.48 -70.0494 -70.0564 -70.0605 -70.0605 -70.0673 -70.07 -70.07 -70.0723 -70.0755 -70.0764 -70.0767
0.49 -70.0501 -70.0572 -70.0612 -70.0612 -70.068 -70.0708 -70.0708 -70.0731 -70.0763 -70.0772 -70.0775
0.5 -70.0508 -70.0579 -70.062 -70.062 -70.0688 -70.0716 -70.0716 -70.0738 -70.0771 -70.078 -70.0783
0.51 -70.0516 -70.0587 -70.0627 -70.0627 -70.0696 -70.0723 -70.0723 -70.0746 -70.0779 -70.0788 -70.0791
0.52 -70.0523 -70.0594 -70.0635 -70.0635 -70.0703 -70.0731 -70.0731 -70.0754 -70.0787 -70.0796 -70.0799
0.53 -70.053 -70.0601 -70.0642 -70.0642 -70.0711 -70.0739 -70.0739 -70.0762 -70.0794 -70.0804 -70.0807
0.54 -70.0537 -70.0608 -70.065 -70.065 -70.0718 -70.0746 -70.0746 -70.0769 -70.0802 -70.0812 -70.0814
0.55 -70.0544 -70.0616 -70.0657 -70.0657 -70.0726 -70.0754 -70.0754 -70.0777 -70.081 -70.0819 -70.0822
0.56 -70.0551 -70.0623 -70.0664 -70.0664 -70.0733 -70.0761 -70.0761 -70.0784 -70.0817 -70.0827 -70.083
0.57 -70.0558 -70.063 -70.0671 -70.0671 -70.074 -70.0768 -70.0768 -70.0792 -70.0825 -70.0835 -70.0837
0.58 -70.0565 -70.0637 -70.0678 -70.0678 -70.0748 -70.0776 -70.0776 -70.0799 -70.0832 -70.0842 -70.0845
0.59 -70.0572 -70.0644 -70.0685 -70.0685 -70.0755 -70.0783 -70.0783 -70.0806 -70.084 -70.0849 -70.0852
0.6 -70.0579 -70.0651 -70.0692 -70.0692 -70.0762 -70.079 -70.079 -70.0813 -70.0847 -70.0857 -70.0859
0.61 -70.0585 -70.0658 -70.0699 -70.0699 -70.0769 -70.0797 -70.0797 -70.0821 -70.0854 -70.0864 -70.0867
0.62 -70.0592 -70.0664 -70.0706 -70.0706 -70.0776 -70.0804 -70.0804 -70.0828 -70.0861 -70.0871 -70.0874
0.63 -70.0599 -70.0671 -70.0713 -70.0713 -70.0783 -70.0811 -70.0811 -70.0835 -70.0868 -70.0878 -70.0881
0.64 -70.0605 -70.0678 -70.072 -70.072 -70.079 -70.0818 -70.0818 -70.0842 -70.0875 -70.0885 -70.0888
0.65 -70.0612 -70.0685 -70.0727 -70.0727 -70.0797 -70.0825 -70.0825 -70.0849 -70.0883 -70.0893 -70.0895
0.66 -70.0618 -70.0691 -70.0733 -70.0733 -70.0804 -70.0832 -70.0832 -70.0856 -70.0889 -70.09 -70.0902
0.67 -70.0625 -70.0698 -70.074 -70.074 -70.081 -70.0839 -70.0839 -70.0863 -70.0896 -70.0906 -70.0909
0.68 -70.0631 -70.0704 -70.0747 -70.0747 -70.0817 -70.0845 -70.0845 -70.0869 -70.0903 -70.0913 -70.0916
0.69 -70.0638 -70.0711 -70.0753 -70.0753 -70.0824 -70.0852 -70.0852 -70.0876 -70.091 -70.092 -70.0923
0.7 -70.0644 -70.0717 -70.076 -70.076 -70.083 -70.0859 -70.0859 -70.0883 -70.0917 -70.0927 -70.093
0.71 -70.0651 -70.0724 -70.0766 -70.0766 -70.0837 -70.0866 -70.0866 -70.0889 -70.0924 -70.0934 -70.0937
0.72 -70.0657 -70.073 -70.0773 -70.0773 -70.0844 -70.0872 -70.0872 -70.0896 -70.093 -70.094 -70.0943
0.73 -70.0663 -70.0737 -70.0779 -70.0779 -70.085 -70.0879 -70.0879 -70.0903 -70.0937 -70.0947 -70.095
0.74 -70.0669 -70.0743 -70.0785 -70.0785 -70.0856 -70.0885 -70.0885 -70.0909 -70.0943 -70.0954 -70.0957
0.75 -70.0676 -70.0749 -70.0792 -70.0792 -70.0863 -70.0892 -70.0892 -70.0916 -70.095 -70.096 -70.0963
0.76 -70.0682 -70.0755 -70.0798 -70.0798 -70.0869 -70.0898 -70.0898 -70.0922 -70.0957 -70.0967 -70.097
0.77 -70.0688 -70.0762 -70.0804 -70.0804 -70.0876 -70.0904 -70.0904 -70.0929 -70.0963 -70.0973 -70.0976
0.78 -70.0694 -70.0768 -70.081 -70.081 -70.0882 -70.0911 -70.0911 -70.0935 -70.0969 -70.098 -70.0983
0.79 -70.07 -70.0774 -70.0817 -70.0817 -70.0888 -70.0917 -70.0917 -70.0941 -70.0976 -70.0986 -70.0989
0.8 -70.0706 -70.078 -70.0823 -70.0823 -70.0894 -70.0923 -70.0923 -70.0948 -70.0982 -70.0993 -70.0995
0.81 -70.0712 -70.0786 -70.0829 -70.0829 -70.0901 -70.093 -70.093 -70.0954 -70.0989 -70.0999 -70.1002
0.82 -70.0718 -70.0792 -70.0835 -70.0835 -70.0907 -70.0936 -70.0936 -70.096 -70.0995 -70.1005 -70.1008
0.83 -70.0724 -70.0798 -70.0841 -70.0841 -70.0913 -70.0942 -70.0942 -70.0966 -70.1001 -70.1011 -70.1014
0.84 -70.073 -70.0804 -70.0847 -70.0847 -70.0919 -70.0948 -70.0948 -70.0972 -70.1007 -70.1018 -70.1021
